번호,한글,영어,한자(번체),주소
181,양동,Yangdong,楊東,경기도 양평군 양동면 양동역길 19
182,양자동,Yangjadong,良子洞,경북 경주시 강동면 인동리 727-2
183,어등,Eodeung,魚 登,경북 예천군 보문면 옥계천로 610-10
184,여수엑스포,Yeosu-Expo,麗水엑스포,전남 여수시 망양로 2
185,여천,Yeocheon,麗 川,전남 여수시 시청로 200 
186,연무대,Yeonmudae,鍊武臺,충남 논산시 연무읍 안심리 179
187,연산,Yeonsan,連 山,충남 논산시 연산면 청동리 127
188,연천,Yeoncheon,漣 川,경기도 연천군 연천읍 연천로 273-7 
189,연화,Yeonhwa,蓮 花,경북 칠곡군 지천면 칠곡대로 2054-5
190,영동,Yeongdong,永同,충북 영동군 영동읍 계산리 205
191,영등포,Yeongdeungpo,永登浦,서울특별시 영등포구 경인로 846
192,영월,Yeongwol,寧 越,강원도 영월군 영월읍 덕포4리 506-2
193,영주,Yeongju,榮州,경북 영주시 선비로 64(휴천동)
194,영천,Yeongcheon,永川,경북 영천시 금완로 98 (완산동)
195,예당,Yedang,禮 堂,전남 보성군 예당역전길 19
196,예산,Yesan,禮 山,충남 예산군 예산읍 주교리 221-1
197,예천,Yecheon,醴 泉,경북 예천군 예천읍 역전길 4
198,오근장,Ogeunjang,梧根場,충북 청주시 상당구 외남동 241-1
199,오산리,Osan-ri,五山里,전북 익산시 오산면 오산리  
200,오송,Osong,五 松,충청북도 청원군 강외면 봉산리 370-1
201,오수,Osu,獒 樹,전북 임실군 오수면 대명리565-1
202,옥산,Oksan,玉 山,경북 상주시 공성면 산현1길 28
203,옥천,Okcheon,沃 川,충북 옥천군 옥천읍 금구리 112-1
204,온양온천,Onyangoncheon,溫 陽 溫 泉,충남 아산시 온천동 69-10
205,옹정,Ongjeong,甕 井,전북 남원시 금지면 입암리 196-2
206,와룡,Waryong,臥 龍,전북 김제시 용지면 와룡리 264
207,완사,Wansa,浣 紗,경남 사천시 곤명면 경서대로 3435
208,왜관,Waegwan,倭 館,경북 칠곡군 왜관읍 중앙로 8길 10
209,용궁,Yonggung,龍 宮,경북 예천군 용궁면 용궁로 80
210,용동,Yongdong,龍 東,전북 익산시 용동면 대조리 804
211,용산,Yongsan,龍 山,서울 용산구 한강로3가 40-1
212,우보,Ubo,友保,경북 군위군 우보면 동부로 1557-10
213,울산,Ulsan,蔚山,울산 울주군 삼남면 울산역로 177
214,웅천,Ungcheon,熊 川,충남 보령시 웅천읍 대창리 465-10
215,원동,Wondong,院 洞,경남 양산시 원동면 원동마을길 13
216,원릉,Wolleung,元 陵,경기도 고양시 덕양구 성사동 
217,원주,Wonju,原州,강원도 원주시 평원로 158 원주역
218,원죽,Wonjuk,元 竹,충남 보령시 청소면 죽림리240-2
219,원창,Wonchang,元 倉,전남 순천시 별량면 동송리556-1
220,월내,Wollae,月 內,부산 기장군 장안읍 월내길 7
221,율촌,Yulchon,栗 村,전남 순천시 율촌면 조화리58-2
222,의성,Uiseong,義城,경북 의성군 의성읍 문소3길 89-8
223,이양,Iyang,梨 陽,전남 화순군 이양면 오류리 662-1
224,이원,Iwon,伊 院,충북 옥천군 이원면 강청리 23
225,이하,Iha,伊下,경북 안동시 와룡면 서주길 237-1
226,익산,Iksan,益 山,전라북도 익산시 익산대로 153 
227,일로,Illo,一 老,전남 무안군 상향면 맥포리 226-6
228,일신,ILSIN,日新,경기 양평군 지평면 일신리 1815-27
229,일영,Iryeong,日 迎,경기도 양주군 장흥면 삼상리 327
230,임기,Imgi,林 基,경북 봉화군 소천면 숲터길 58
231,임성리,Imseong-ri,任城里,전남 목포시 옥암동 759 
232,임실,Imsil,任 實,전북 임실군 임실읍 두곡리 27
233,임진강,Imjingang,臨津江,경기도 파주시 문산읍 마정리 1253-3
234,임포,Impo,林浦,경북 영천시 북안면 임포역길 31
235,임피,Impi,臨 陂,전북 군산시 임피면 슬산리 230
236,입실,Ipsil,入室,경북 경주시 외동읍 입실로3길 23
237,자미원,Jamiwon,紫味院,강원도 정선군 남면 문곡3리 126
238,장성,Jangseong,長 城,전남 장성군 장성읍 영천리 1273-5
239,장항,Janghang,長 項,충남 서천군 장항읍 마서면 덕암리386
240,장흥,Jangheung,長 興,경기도 양주군 장흥면 일영리 92
241,전곡,Jeongok,全 谷,경기도 연천군 전곡읍 전곡역로 75 
242,전의,Jeonui,全 義,세종특별자치시 조치원읍 으뜸길 215
243,전주,Jeonju,全 州,전라북도 전주시 덕진구 동부대로 680 
244,점촌,Jeomchon,店 村,경북 문경시 신흥로 170
245,정동진,Jeongdongjin,正東津,강원도 강릉시 강동면 정동역길17
246,정선,Jeongseon,旌 善,강원도 정선군 정선읍 애산2리 428
247,정읍,Jeongeup,井 邑,전라북도 정읍시 서부산업도로 305번지
248,제진,Jejin,猪 津,강원도 고성군 현내면 동해대로9109
249,제천,Jecheon,堤川,충북 제천시 영천동 1381
250,조성,Joseong,鳥 城,전남 보성군 조성4길 12
